company,item,calories,fat_g,sat_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,carbs_g,fiber_g,sugars_g,protein_g
McDonald’s,Tangy Honey Mustard Sauce,60.0,2.0,0.0,0.0,5.0,140.0,10.0,0.0,8.0,0.0
McDonald’s,Southwestern Chipotle Barbeque Sauce,60.0,0.0,0.0,0.0,0.0,210.0,15.0,1.0,11.0,0.0
McDonald’s,Premium Southwest Salad with Grilled Chicken,320.0,9.0,3.0,0.0,70.0,960.0,30.0,6.0,11.0,30.0
McDonald’s,Premium Southwest Salad with Crispy Chicken,430.0,20.0,4.0,0.0,55.0,920.0,38.0,6.0,12.0,26.0
McDonald’s,Premium Southwest Salad (without chicken),140.0,4.5,2.0,0.0,10.0,150.0,20.0,6.0,6.0,6.0
McDonald’s,Premium Bacon Ranch Salad with Grilled Chicken,260.0,9.0,4.0,0.0,90.0,1010.0,12.0,3.0,5.0,33.0
McDonald’s,Premium Bacon Ranch Salad with Crispy Chicken,370.0,20.0,6.0,0.0,75.0,970.0,20.0,3.0,6.0,29.0
McDonald’s,Premium Bacon Ranch Salad (without chicken),140.0,7.0,3.5,0.0,25.0,300.0,10.0,3.0,4.0,9.0
McDonald’s,Premium Caesar Salad with Grilled Chicken,220.0,6.0,3.0,0.0,75.0,890.0,12.0,3.0,5.0,30.0
McDonald’s,Premium Caesar Salad with Crispy Chicken,330.0,17.0,4.5,0.0,60.0,840.0,20.0,3.0,6.0,26.0
McDonald’s,Premium Caesar Salad (without chicken),90.0,4.0,2.5,0.0,10.0,180.0,9.0,3.0,4.0,7.0
McDonald’s,Side Salad,20.0,0.0,0.0,0.0,0.0,10.0,4.0,1.0,2.0,1.0
McDonald’s,Butter Garlic Croutons,60.0,1.5,0.0,0.0,0.0,140.0,10.0,1.0,0.0,2.0
McDonald’s,Snack Size Fruit & Walnut Salad,210.0,8.0,1.5,0.0,5.0,60.0,31.0,2.0,25.0,4.0
McDonald’s,Newman’s Own® Creamy Southwest Dressing,100.0,6.0,1.0,0.0,20.0,340.0,11.0,0.0,3.0,1.0
