,Title,Rating,directors,actors,voter_count,years,link
211,Platoon,8.0,Oliver Stone ,"[' Charlie Sheen', ' Tom Berenger']","419,347",1986,https://www.imdb.com/title/tt0091763/
212,Ratatouille,8.0,Brad Bird ,"[' Brad Garrett', ' Lou Romano']","752,178",2007,https://www.imdb.com/title/tt0382932/
213,Spotlight,8.0,Tom McCarthy ,"[' Mark Ruffalo', ' Michael Keaton']","476,522",2015,https://www.imdb.com/title/tt1895587/
214,The Terminator,8.0,James Cameron ,"[' Arnold Schwarzenegger', ' Linda Hamilton']","876,053",1984,https://www.imdb.com/title/tt0088247/
215,Logan,8.0,James Mangold ,"[' Hugh Jackman', ' Patrick Stewart']","775,653",2017,https://www.imdb.com/title/tt3315342/
216,Stand by Me,8.0,Rob Reiner ,"[' Wil Wheaton', ' River Phoenix']","411,073",1986,https://www.imdb.com/title/tt0092005/
217,Rush,8.0,Ron Howard ,"[' Daniel Brühl', ' Chris Hemsworth']","486,108",2013,https://www.imdb.com/title/tt1979320/
218,Network,8.0,Sidney Lumet ,"[' Faye Dunaway', ' William Holden']","161,806",1976,https://www.imdb.com/title/tt0074958/
219,Before Sunset,8.0,Richard Linklater ,"[' Ethan Hawke', ' Julie Delpy']","269,882",2004,https://www.imdb.com/title/tt0381681/
220,Into the Wild,8.0,Sean Penn ,"[' Emile Hirsch', ' Vince Vaughn']","629,835",2007,https://www.imdb.com/title/tt0758758/
221,The Wizard of Oz,8.0,Victor Fleming ,"[' Judy Garland', ' Frank Morgan']","406,027",1939,https://www.imdb.com/title/tt0032138/
222,The Best Years of Our Lives,8.0,William Wyler ,"[' Myrna Loy', ' Dana Andrews']","66,175",1946,https://www.imdb.com/title/tt0036868/
223,Pather Panchali,8.0,Satyajit Ray ,"[' Kanu Bannerjee', ' Karuna Bannerjee']","34,317",1955,https://www.imdb.com/title/tt0048473/
224,Groundhog Day,8.0,Harold Ramis ,"[' Bill Murray', ' Andie MacDowell']","643,097",1993,https://www.imdb.com/title/tt0107048/
225,The Exorcist,8.0,William Friedkin ,"[' Ellen Burstyn', ' Max von Sydow']","415,249",1973,https://www.imdb.com/title/tt0070047/
226,To Be or Not to Be,8.0,Ernst Lubitsch ,"[' Carole Lombard', ' Jack Benny']","38,881",1942,https://www.imdb.com/title/tt0035446/
227,The Incredibles,8.0,Brad Bird ,"[' Craig T. Nelson', ' Samuel L. Jackson']","749,932",2004,https://www.imdb.com/title/tt0317705/
228,La haine,8.0,Mathieu Kassovitz ,"[' Vincent Cassel', ' Hubert Koundé']","178,128",1995,https://www.imdb.com/title/tt0113247/
229,Pirates of the Caribbean: The Curse of the Black Pearl,8.0,Gore Verbinski ,"[' Johnny Depp', ' Geoffrey Rush']","1,140,461",2003,https://www.imdb.com/title/tt0325980/
230,The Battle of Algiers,8.0,Gillo Pontecorvo ,"[' Brahim Hadjadj', ' Jean Martin']","61,633",1966,https://www.imdb.com/title/tt0058946/
231,Hachi: A Dog's Tale,8.0,Lasse Hallström ,"[' Richard Gere', ' Joan Allen']","290,900",2009,https://www.imdb.com/title/tt1028532/
232,The Grapes of Wrath,8.0,John Ford ,"[' Henry Fonda', ' Jane Darwell']","95,126",1940,https://www.imdb.com/title/tt0032551/
233,Jai Bhim,8.0,T.J. Gnanavel ,"[' Suriya', ' Lijo Mol Jose']","204,618",2021,https://www.imdb.com/title/tt15097216/
234,My Father and My Son,8.0,Çagan Irmak ,"[' Çetin Tekindor', ' Fikret Kuskan']","87,516",2005,https://www.imdb.com/title/tt0476735/
235,Amores Perros,8.0,Alejandro G. Iñárritu ,"[' Emilio Echevarría', ' Gael García Bernal']","243,603",2000,https://www.imdb.com/title/tt0245712/
236,Rebecca,8.0,Alfred Hitchcock ,"[' Laurence Olivier', ' Joan Fontaine']","139,314",1940,https://www.imdb.com/title/tt0032976/
237,Cool Hand Luke,8.0,Stuart Rosenberg ,"[' Paul Newman', ' George Kennedy']","179,651",1967,https://www.imdb.com/title/tt0061512/
238,The Handmaiden,8.0,Park Chan-wook ,"[' Kim Min-hee', ' Ha Jung-woo']","153,251",2016,https://www.imdb.com/title/tt4016934/
239,The 400 Blows,8.0,François Truffaut ,"[' Jean-Pierre Léaud', ' Albert Rémy']","120,546",1959,https://www.imdb.com/title/tt0053198/
240,The Sound of Music,8.0,Robert Wise ,"[' Julie Andrews', ' Christopher Plummer']","240,872",1965,https://www.imdb.com/title/tt0059742/
241,It Happened One Night,8.0,Frank Capra ,"[' Clark Gable', ' Claudette Colbert']","106,026",1934,https://www.imdb.com/title/tt0025316/
242,Persona,8.0,Ingmar Bergman ,"[' Bibi Andersson', ' Liv Ullmann']","121,797",1966,https://www.imdb.com/title/tt0060827/
243,Life of Brian,8.0,Terry Jones ,"[' Graham Chapman', ' John Cleese']","404,938",1979,https://www.imdb.com/title/tt0079470/
244,The Iron Giant,8.0,Brad Bird ,"[' Eli Marienthal', ' Harry Connick Jr.']","204,564",1999,https://www.imdb.com/title/tt0129167/
245,Dersu Uzala,8.0,Akira Kurosawa ,"[' Maksim Munzuk', ' Yuriy Solomin']","31,159",1975,https://www.imdb.com/title/tt0071411/
246,The Help,8.0,Tate Taylor ,"[' Viola Davis', ' Emma Stone']","465,939",2011,https://www.imdb.com/title/tt1454029/
247,Aladdin,8.0,Ron Clements ,"[' Scott Weinger', ' Robin Williams']","429,143",1992,https://www.imdb.com/title/tt0103639/
248,Gandhi,8.0,Richard Attenborough ,"[' Ben Kingsley', ' John Gielgud']","234,669",1982,https://www.imdb.com/title/tt0083987/
249,Dances with Wolves,8.0,Kevin Costner ,"[' Kevin Costner', ' Mary McDonnell']","271,770",1990,https://www.imdb.com/title/tt0099348/
